year,university,sex,people,gender
2015,California Institute of Technology,1,740,Female
2015,Harvard University,1,10076,Female
2015,University of Oxford,1,9163,Female
2015,Stanford University,1,6550,Female
2015,University of Cambridge,1,8654,Female
2015,Massachusetts Institute of Technology,1,4097,Female
2015,Princeton University,1,3568,Female
2015,"University of California, Berkeley",1,18093,Female
2015,Imperial College London,1,5572,Female
2015,Yale University,1,5876,Female
