awardYear,category,adjustedSEKPrizePerLaureate,adjustedUSDPrizePerLaureate
2021,Economic Sciences,3333333.333,388333.33
2021,Economic Sciences,3333333.333,388333.33
2021,Literature,10000000,1165000.00
2021,Peace,5000000,582500.00
2021,Peace,5000000,582500.00
2021,Physics,3333333.333,388333.33
2021,Physics,3333333.333,388333.33
2021,Physics,3333333.333,388333.33
2021,Physiology or Medicine,5000000,582500.00
2021,Physiology or Medicine,5000000,582500.00
