awardYear,category,adjustedPrizePerLaureate
1948,Literature,3056881
1948,Physics,3056881
1948,Physiology or Medicine,3056881
1949,Chemistry,2930438
1949,Literature,2930438
1949,Peace,2930438
1949,Physics,2930438
1949,Physiology or Medicine,1465219
1949,Physiology or Medicine,1465219
1950,Chemistry,1525099
1950,Chemistry,1525099
1950,Literature,3050198
1950,Peace,3050198
1950,Physics,3050198
1950,Physiology or Medicine,1016732.667
1950,Physiology or Medicine,1016732.667
1950,Physiology or Medicine,1016732.667
1951,Chemistry,1343045
1951,Chemistry,1343045
1951,Literature,2686090
1951,Peace,2686090
1951,Physics,1343045
1951,Physics,1343045
1951,Physiology or Medicine,2686090
1952,Chemistry,1273326
1952,Chemistry,1273326
1952,Literature,2546652
1952,Peace,2546652
1952,Physics,1273326
1952,Physics,1273326
1952,Physiology or Medicine,2546652
1953,Chemistry,2567769
1953,Literature,2567769
1953,Peace,2567769
1953,Physics,2567769
1953,Physiology or Medicine,1283884.5
1953,Physiology or Medicine,1283884.5
1954,Chemistry,2640218
1954,Literature,2640218
1954,Peace,2640218
1954,Physics,1320109
1954,Physics,1320109
1954,Physiology or Medicine,880072.6667
1954,Physiology or Medicine,880072.6667
1954,Physiology or Medicine,880072.6667
1955,Chemistry,2681588
1955,Literature,2681588
1955,Physics,1340794
1955,Physics,1340794
1955,Physiology or Medicine,2681588
1956,Chemistry,1349750.5
1956,Chemistry,1349750.5
1956,Literature,2699501
1956,Physics,899833.6667
1956,Physics,899833.6667
1956,Physics,899833.6667
1956,Physiology or Medicine,899833.6667
1956,Physiology or Medicine,899833.6667
1956,Physiology or Medicine,899833.6667
1957,Chemistry,2697789
1957,Literature,2697789
1957,Peace,2697789
1957,Physics,1348894.5
1957,Physics,1348894.5
1957,Physiology or Medicine,2697789
1958,Chemistry,2646698
1958,Literature,2646698
1958,Peace,2646698
1958,Physics,882232.6667
1958,Physics,882232.6667
1958,Physics,882232.6667
1958,Physiology or Medicine,882232.6667
1958,Physiology or Medicine,882232.6667
1958,Physiology or Medicine,882232.6667
1959,Chemistry,2704387
1959,Literature,2704387
1959,Peace,2704387
1959,Physics,1352193.5
1959,Physics,1352193.5
1959,Physiology or Medicine,1352193.5
1959,Physiology or Medicine,1352193.5
1960,Chemistry,2664941
1960,Literature,2664941
1960,Peace,2664941
1960,Physics,2664941
1960,Physiology or Medicine,1332470.5
