firstname,surname,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_month,age,age_get_prize,full name
Fridtjof,Nansen,NO,NO,male,1922,peace,1,,,,Oct,69,61,Fridtjof Nansen
Sir Austen,Chamberlain,GB,GB,male,1925,peace,2,,,,Oct,74,62,Sir Austen Chamberlain
Charles G.,Dawes,US,US,male,1925,peace,2,,,,Aug,86,60,Charles G. Dawes
Aristide,Briand,FR,FR,male,1926,peace,2,,,,Mar,70,64,Aristide Briand
Gustav,Stresemann,DE,DE,male,1926,peace,2,,,,May,51,48,Gustav Stresemann
Ferdinand,Buisson,FR,FR,male,1927,peace,2,,,,Dec,91,86,Ferdinand Buisson
Ludwig,Quidde,DE,CH,male,1927,peace,2,,,,Mar,83,69,Ludwig Quidde
Frank B.,Kellogg,US,US,male,1929,peace,1,,,,Dec,81,73,Frank B. Kellogg
Nathan,Söderblom,SE,SE,male,1930,peace,1,,,,Jan,65,64,Nathan Söderblom
Jane,Addams,US,US,female,1931,peace,2,,,,Sep,75,71,Jane Addams
Nicholas Murray,Butler,US,US,male,1931,peace,2,Columbia University,New York NY,USA,Apr,85,69,Nicholas Murray Butler
Sir Norman,Angell,GB,GB,male,1933,peace,1,,,,Dec,95,61,Sir Norman Angell
Arthur,Henderson,GB,GB,male,1934,peace,1,,,,Sep,72,71,Arthur Henderson
Carl,von Ossietzky,DE,DE,male,1935,peace,1,,,,Oct,49,46,Carl von Ossietzky
Carlos,Saavedra Lamas,AR,AR,male,1936,peace,1,,,,Nov,81,58,Carlos Saavedra Lamas
Robert,Cecil,GB,GB,male,1937,peace,1,,,,Sep,94,73,Robert Cecil
Cordell,Hull,US,US,male,1945,peace,1,,,,Oct,84,74,Cordell Hull
Emily Greene,Balch,US,US,female,1946,peace,2,,,,Jan,94,79,Emily Greene Balch
John R.,Mott,US,US,male,1946,peace,2,,,,May,90,81,John R. Mott
John,Boyd Orr,GB,GB,male,1949,peace,1,,,,Sep,91,69,John Boyd Orr
Ralph,Bunche,US,US,male,1950,peace,1,Harvard University,Cambridge MA,USA,Aug,67,46,Ralph Bunche
Léon,Jouhaux,FR,FR,male,1951,peace,1,,,,Jul,75,72,Léon Jouhaux
Albert,Schweitzer,FR,GA,male,1952,peace,1,,,,Jan,90,77,Albert Schweitzer
George C.,Marshall,US,US,male,1953,peace,1,,,,Dec,79,73,George C. Marshall
Lester Bowles,Pearson,CA,CA,male,1957,peace,1,,,,Apr,75,60,Lester Bowles Pearson
Georges,Pire,BE,BE,male,1958,peace,1,,,,Feb,59,48,Georges Pire
Philip,Noel-Baker,GB,GB,male,1959,peace,1,,,,Nov,93,70,Philip Noel-Baker
Albert,Luthuli,ZW,ZA,male,1960,peace,1,,,,Jul,69,62,Albert Luthuli
Dag,Hammarskjöld,SE,ZM,male,1961,peace,1,,,,Jul,56,56,Dag Hammarskjöld
Martin Luther,King Jr.,US,US,male,1964,peace,1,,,,Jan,39,35,Martin Luther King Jr.
René,Cassin,FR,FR,male,1968,peace,1,,,,Oct,89,81,René Cassin
Norman,Borlaug,US,US,male,1970,peace,1,,,,Mar,95,56,Norman Borlaug
Willy,Brandt,DE,DE,male,1971,peace,1,,,,Dec,79,58,Willy Brandt
Henry,Kissinger,DE,,male,1973,peace,2,,,,May,97,50,Henry Kissinger
Le Duc Tho,,VN,VN,male,1973,peace,2,,,,Oct,79,62,Le Duc Tho 
Seán,MacBride,FR,IE,male,1974,peace,2,,,,Jan,84,70,Seán MacBride
Eisaku,Sato,JP,JP,male,1974,peace,2,,,,Mar,74,73,Eisaku Sato
