awardYear,category,ageReceivePrize
1957,Literature,44
1957,Peace,60
1957,Physics,35
1957,Physics,31
1957,Physiology or Medicine,50
1958,Chemistry,40
1958,Literature,68
1958,Peace,48
1958,Physics,54
1958,Physics,63
1958,Physics,50
1958,Physiology or Medicine,55
1958,Physiology or Medicine,49
1958,Physiology or Medicine,33
1959,Chemistry,69
1959,Literature,58
1959,Peace,70
1959,Physics,54
1959,Physics,39
1959,Physiology or Medicine,54
1959,Physiology or Medicine,41
1960,Chemistry,52
1960,Literature,73
1960,Peace,62
1960,Physics,34
1960,Physiology or Medicine,61
1960,Physiology or Medicine,45
1961,Chemistry,50
1961,Literature,69
1961,Peace,56
1961,Physics,46
1961,Physics,32
1961,Physiology or Medicine,62
1962,Chemistry,48
1962,Chemistry,45
1962,Literature,60
1962,Peace,61
1962,Physics,54
1962,Physiology or Medicine,46
1962,Physiology or Medicine,34
1962,Physiology or Medicine,46
1963,Chemistry,65
1963,Chemistry,60
1963,Literature,63
1963,Physics,61
1963,Physics,57
1963,Physics,56
1963,Physiology or Medicine,60
1963,Physiology or Medicine,49
1963,Physiology or Medicine,46
1964,Chemistry,54
1964,Literature,59
1964,Peace,35
1964,Physics,49
1964,Physics,42
1964,Physics,48
1964,Physiology or Medicine,52
1964,Physiology or Medicine,53
1965,Chemistry,48
1965,Literature,60
1965,Physics,59
1965,Physics,47
1965,Physics,47
1965,Physiology or Medicine,45
1965,Physiology or Medicine,63
1965,Physiology or Medicine,55
1966,Chemistry,70
1966,Literature,78
1966,Literature,75
1966,Physics,64
1966,Physiology or Medicine,87
1966,Physiology or Medicine,65
1967,Chemistry,40
1967,Chemistry,70
1967,Chemistry,47
1967,Literature,68
1967,Physics,61
1967,Physiology or Medicine,67
1967,Physiology or Medicine,64
1967,Physiology or Medicine,61
1968,Chemistry,65
1968,Literature,69
1968,Peace,81
1968,Physics,57
1968,Physiology or Medicine,46
1968,Physiology or Medicine,46
1968,Physiology or Medicine,41
1969,Chemistry,51
1969,Chemistry,72
1969,Economic Sciences,74
1969,Economic Sciences,66
1969,Literature,63
1969,Physics,40
1969,Physiology or Medicine,63
1969,Physiology or Medicine,61
1969,Physiology or Medicine,57
1970,Chemistry,64
1970,Economic Sciences,55
1970,Literature,52
1970,Peace,56
1970,Physics,62
1970,Physics,66
1970,Physiology or Medicine,59
1970,Physiology or Medicine,65
1970,Physiology or Medicine,58
1971,Chemistry,67
1971,Economic Sciences,70
1971,Literature,67
1971,Peace,58
1971,Physics,71
1971,Physiology or Medicine,56
1972,Chemistry,56
1972,Chemistry,59
1972,Chemistry,61
1972,Economic Sciences,68
1972,Economic Sciences,51
1972,Literature,55
1972,Physics,64
1972,Physics,42
1972,Physics,41
1972,Physiology or Medicine,43
1972,Physiology or Medicine,55
1973,Chemistry,55
1973,Chemistry,52
1973,Economic Sciences,67
1973,Literature,61
1973,Peace,50
1973,Peace,62
1973,Physics,48
1973,Physics,44
1973,Physics,33
1973,Physiology or Medicine,87
1973,Physiology or Medicine,70
1973,Physiology or Medicine,66
1974,Chemistry,64
1974,Economic Sciences,76
1974,Economic Sciences,75
1974,Literature,74
1974,Literature,70
1974,Peace,70
1974,Peace,73
1974,Physics,56
1974,Physics,50
1974,Physiology or Medicine,76
1974,Physiology or Medicine,57
1974,Physiology or Medicine,62
1975,Chemistry,58
